node_id,x,y,square,nearest_service_point,population,assigned_population,assigned_square
5023,75555.0,37670.0,E1775N3165,753,850.0,12.5,E1775N3165
5024,86553.0,33027.0,E1785N3160,1176,1265.0,24.326923076923077,E1785N3160
5025,37927.0,58573.0,E1750N3185,3343,920.0,18.775510204081634,E1750N3185
5026,37831.0,60781.0,E1750N3190,3343,655.0,22.586206896551722,E1750N3190
5027,37830.0,58383.0,E1750N3185,3343,920.0,18.775510204081634,E1750N3185
5028,37938.0,58394.0,E1750N3185,3343,920.0,18.775510204081634,E1750N3185
5029,37871.0,58582.0,E1750N3185,3343,920.0,18.775510204081634,E1750N3185
5030,31910.0,53265.0,E1745N3180,8282,1460.0,21.470588235294116,E1745N3180
5031,40707.0,46948.0,E1750N3175,4440,2685.0,33.9873417721519,E1750N3175
5032,81965.0,37228.0,E1780N3165,7229,140.0,1.4736842105263157,E1780N3165
5033,75995.0,34217.0,E1775N3160,753,845.0,8.20388349514563,E1775N3160
5034,76034.0,34100.0,E1775N3160,753,845.0,8.20388349514563,E1775N3160
5035,77011.0,34212.0,E1775N3160,753,845.0,8.20388349514563,E1775N3160
5036,77015.0,34134.0,E1775N3160,753,845.0,8.20388349514563,E1775N3160
5037,77439.0,31353.0,E1775N3160,753,845.0,8.20388349514563,E1775N3160
5038,80445.0,35666.0,,7229,,0.3,E1780N3160
5039,75564.0,35817.0,E1775N3165,753,850.0,12.5,E1775N3165
5040,43571.0,47679.0,E1755N3175,4440,2705.0,34.67948717948718,E1755N3175
5041,47233.0,42687.0,E1755N3170,1934,1200.0,13.043478260869565,E1755N3170
5042,45479.0,44520.0,E1755N3170,4440,1200.0,13.043478260869565,E1755N3170
5043,46901.0,42747.0,E1755N3170,1934,1200.0,13.043478260869565,E1755N3170
5044,46664.0,42332.0,E1755N3170,1934,1200.0,13.043478260869565,E1755N3170
5045,45353.0,41952.0,E1755N3170,4440,1200.0,13.043478260869565,E1755N3170
5046,46694.0,42279.0,E1755N3170,1934,1200.0,13.043478260869565,E1755N3170
